"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.522500534E-4,-1.580563202E0,6.754254456E0,7.581584015E0,1.027611548E1
9.784750000E-3,-1.794618073E0,6.940167847E0,7.297774200E0,1.022956949E1
1.972275000E-2,-2.090253296E0,7.003486176E0,6.943460999E0,1.008115212E1
2.965975000E-2,-1.742526398E0,7.063960419E0,6.868766327E0,1.000579262E1
3.959674999E-2,-1.360371094E0,6.944359131E0,6.892117767E0,9.878057530E0
4.953475000E-2,-1.299148407E0,6.876101074E0,6.985972595E0,9.887990982E0
5.947174999E-2,-1.370250549E0,6.901847534E0,7.083869019E0,9.984702611E0
6.940874999E-2,-1.486858063E0,6.906038818E0,7.158414001E0,1.005718699E1
7.934674999E-2,-1.522034912E0,6.937024384E0,7.129224701E0,1.006303843E1
8.928374999E-2,-1.554217987E0,7.025191040E0,7.112758942E0,1.011732388E1
9.922074998E-2,-1.575174408E0,7.103029175E0,7.072193298E0,1.014643366E1
1.091587500E-1,-1.585353241E0,7.145391083E0,6.953490143E0,1.009559230E1
1.190957500E-1,-1.466051331E0,7.160809021E0,6.852450256E0,1.001911008E1
1.290327500E-1,-1.312919769E0,7.158264313E0,6.772516479E0,9.941402605E0
1.389707500E-1,-1.223106537E0,7.119345245E0,6.607409821E0,9.789735995E0
1.489077500E-1,-1.380878448E0,7.139852600E0,6.392756195E0,9.682543685E0
1.588447500E-1,-1.587149506E0,7.175777893E0,6.272855530E0,9.662274495E0
1.687827500E-1,-1.717678070E0,7.141648865E0,6.143524475E0,9.575826828E0
1.787197500E-1,-1.762584686E0,7.123536530E0,6.123915253E0,9.557918993E0
1.886567500E-1,-1.750609589E0,7.083120575E0,6.169570312E0,9.555042064E0
1.985947500E-1,-1.701661377E0,7.034322052E0,6.252348175E0,9.563952942E0
2.085317500E-1,-1.635049896E0,6.998995514E0,6.486611023E0,9.681706922E0
2.184697500E-1,-1.589394836E0,6.931336212E0,6.666985931E0,9.747733021E0
2.284067500E-1,-1.514251099E0,6.894812164E0,6.624025269E0,9.680346168E0
2.383437500E-1,-1.521136780E0,6.880442047E0,6.477180634E0,9.571217730E0
2.482817500E-1,-1.578916626E0,6.879992981E0,6.365662537E0,9.505205977E0
2.582187500E-1,-1.617835693E0,6.835984497E0,6.334527283E0,9.459086228E0
2.681557500E-1,-1.620679779E0,6.808142395E0,6.481222229E0,9.538534866E0
2.780937499E-1,-1.690584412E0,6.790179749E0,6.685247955E0,9.677662781E0
2.880307500E-1,-1.688937836E0,6.787485352E0,6.784641266E0,9.744425356E0
2.979677500E-1,-1.555864563E0,6.772217102E0,6.740632782E0,9.680897134E0
3.079057500E-1,-1.441502380E0,6.777755585E0,6.615343323E0,9.580118327E0
3.178427500E-1,-1.381177826E0,6.807094574E0,6.450236664E0,9.478910367E0
3.277797500E-1,-1.319057007E0,6.769073639E0,6.341113586E0,9.368563969E0
3.377177500E-1,-1.272952881E0,6.752757568E0,6.343957672E0,9.352322854E0
3.476547500E-1,-1.204395447E0,6.729406128E0,6.390510864E0,9.358103672E0
3.575927500E-1,-1.042132874E0,6.693181458E0,6.651867371E0,9.493790521E0
3.675297500E-1,-1.119671631E0,6.693031769E0,6.688391418E0,9.528112016E0
3.774667500E-1,-1.096020813E0,6.725514221E0,6.627917175E0,9.505950202E0
3.874047500E-1,-7.554789734E-1,6.685846710E0,6.598877563E0,9.424249562E0
3.973417500E-1,-2.091151428E-1,6.537804565E0,6.519093475E0,9.234998507E0
4.072787500E-1,3.442840576E-1,6.223458252E0,6.505172424E0,9.009285898E0
4.172167500E-1,1.326391754E0,5.662724304E0,6.822662201E0,8.965181601E0
4.271537500E-1,2.002236328E0,4.927153931E0,6.969357147E0,8.766854351E0
4.370907500E-1,9.035211182E-1,5.117258606E0,7.201524353E0,8.880576505E0
4.470287500E-1,3.013982391E0,7.001240845E0,7.021748199E0,1.036370643E1
4.569657500E-1,2.486928406E0,6.289321289E0,6.574328613E0,9.431976033E0
4.669027500E-1,1.397793274E0,5.369633789E0,6.304888916E0,8.398715218E0
4.768407500E-1,1.929936676E0,6.267616425E0,6.030359802E0,8.909147578E0
4.867777500E-1,7.430548096E-1,5.009482727E0,5.144052887E0,7.218609821E0
